Date,MMM,AXP,AMGN,AMZN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WMT
2014-10-03,83.65968322753906,75.45887756347656,105.06671905517578,16.136999130249023,22.113327026367188,109.876220703125,74.28914642333984,76.8824234008789,18.647512435913086,31.308765411376953,80.76493072509766,,154.63246154785156,74.09934997558594,71.07189178466797,117.30695343017578,25.938739776611328,79.89384460449219,46.023990631103516,73.35359954833984,42.151710510253906,39.407814025878906,40.33048629760742,63.14309310913086,58.201622009277344,75.28135681152344,73.88823699951172,30.197311401367188,49.41405487060547,21.029335021972656
2014-10-06,83.76115417480469,75.34632873535156,103.90399932861328,16.110000610351562,22.113327026367188,109.78923797607422,74.75444793701172,77.13059997558594,18.426488876342773,31.745635986328125,80.86537170410156,,154.14736938476562,73.87754821777344,71.25788116455078,117.53699493408203,25.999713897705078,79.6886978149414,45.932403564453125,72.5648422241211,41.92652893066406,39.407814025878906,39.85254669189453,62.977325439453125,58.042327880859375,75.4726333618164,73.08937072753906,30.422069549560547,49.367435455322266,21.037500381469727
2014-10-07,82.1735610961914,73.89185333251953,102.71094512939453,15.848999977111816,21.92021369934082,107.23277282714844,72.23723602294922,75.7785873413086,18.15388298034668,31.9786319732666,79.54135131835938,,151.12159729003906,73.25175476074219,69.58394622802734,115.46649932861328,25.511890411376953,77.81159973144531,45.23784255981445,71.76836395263672,41.13838577270508,38.92900848388672,39.33885955810547,62.66835403442383,56.65847396850586,74.643798828125,72.3163070678711,30.179088592529297,48.49565124511719,21.023893356323242
2014-10-08,84.39978790283203,75.67532348632812,105.76140594482422,16.135000228881836,22.375267028808594,108.67623901367188,73.72464752197266,77.03914642333984,18.168615341186523,32.43733596801758,80.45446014404297,,153.45668029785156,74.53506469726562,70.87040710449219,117.73594665527344,26.121671676635742,79.72669982910156,46.100318908691406,72.55709838867188,42.3487434387207,39.9977912902832,39.67833709716797,63.43700408935547,57.64409637451172,75.27337646484375,74.40357971191406,30.633642196655273,49.50029754638672,21.279560089111328
2014-10-09,82.74652099609375,74.35934448242188,103.88130950927734,15.768500328063965,22.424100875854492,106.7458267211914,71.32182312011719,74.7923355102539,17.822336196899414,31.94222068786621,78.26298522949219,,149.0414276123047,73.72703552246094,69.56846618652344,115.90797424316406,25.626224517822266,77.57601928710938,45.09283447265625,71.69876098632812,41.66615295410156,39.20261764526367,38.96364212036133,63.04513931274414,56.877498626708984,74.82707977294922,72.96056365966797,30.056236267089844,48.4163818359375,21.176206588745117
2014-10-10,79.87570190429688,73.5802001953125,103.73784637451172,15.569499969482422,22.359725952148438,105.65019989013672,71.03960418701172,74.38738250732422,17.196086883544922,32.37910079956055,78.77433776855469,,148.30972290039062,73.31510925292969,68.11927795410156,115.60331726074219,24.322813034057617,76.93006134033203,44.66541290283203,71.37397766113281,41.27912902832031,37.6464958190918,38.94578552246094,63.821346282958984,54.52793502807617,74.9466323852539,73.34709167480469,30.06238555908203,47.78003692626953,21.293155670166016
2014-10-13,79.32063293457031,71.6668472290039,100.84595489501953,15.322500228881836,22.155506134033203,104.73715209960938,69.93352508544922,73.17249298095703,16.894014358520508,32.08784484863281,76.61940002441406,,146.9859619140625,71.77039337158203,66.38336181640625,114.10490417480469,23.98741912841797,75.3265609741211,44.39064407348633,70.1599349975586,39.50579833984375,37.32158660888672,38.14175796508789,62.82659912109375,52.99473571777344,74.53219604492188,72.11016082763672,29.71224021911621,47.61687469482422,21.09461784362793
2014-10-14,80.08460235595703,71.63224792480469,99.81907653808594,15.415499687194824,21.92021369934082,106.33715057373047,70.7878646850586,71.70291137695312,16.989789962768555,31.77475357055664,76.82939910888672,,146.92840576171875,71.37428283691406,66.79409790039062,114.27896118164062,24.498119354248047,73.72305297851562,44.26089859008789,70.44602966308594,39.63949203491211,37.389991760253906,38.007755279541016,62.96223831176758,52.486995697021484,74.65972137451172,71.13951873779297,29.620107650756836,47.25325393676758,21.208847045898438
2014-10-15,80.10845184326172,70.06521606445312,98.83747863769531,15.298500061035156,21.651620864868164,104.51107025146484,70.62767791748047,71.36980438232422,16.916118621826172,31.476232528686523,74.9483871459961,,145.72793579101562,69.59193420410156,65.95711517333984,113.00436401367188,23.84259605407715,74.63500213623047,42.383277893066406,69.93568420410156,38.513572692871094,36.95392608642578,38.04795455932617,62.51008987426758,52.85535430908203,73.31285095214844,70.57261657714844,29.435815811157227,46.67749786376953,20.452747344970703
2014-10-16,80.60385131835938,69.46784973144531,98.49771118164062,15.142999649047852,21.36748504638672,104.59806060791016,71.66531372070312,72.53894805908203,16.812971115112305,30.988401412963867,74.63792419433594,,141.896484375,70.40785217285156,66.9490966796875,111.81681060791016,23.51483917236328,73.54824829101562,42.03982925415039,69.52584838867188,37.598758697509766,36.543521881103516,38.87877655029297,61.97506332397461,53.63190841674805,73.16938781738281,73.34709167480469,29.282257080078125,47.31851577758789,20.07741928100586
2014-10-17,82.00642395019531,71.49371337890625,100.94407653808594,15.182000160217285,21.68047332763672,107.1632080078125,73.05650329589844,73.02227020263672,17.12978172302246,31.221384048461914,76.54633331298828,,145.4566192626953,71.48522186279297,69.7931900024414,113.19091796875,23.918819427490234,75.00735473632812,42.89466857910156,70.39967346191406,38.01395034790039,37.30447769165039,38.941314697265625,62.75124740600586,55.384132385253906,74.30905151367188,75.74358367919922,29.527950286865234,48.01780700683594,20.153568267822266
